id_domicilio,id_pessoa,trimestre_num,numero_entrevistas_pessoa,peso_pessoa,capital,situacao_urbana_rural,tipo_area,peso_amostral,sexo,idade,cor_raca,nivel_instrucao,numero_trabalhos,area_trabalho,grupo_atividade,grupo_ocupacao,rendimento_habitual,horas_habituais,target_informal
250000680-04-11,250000680-04-11-03,1,3,0.3333333333333333,0,2,4,466.19817803,1,29,4,5,1,3,09,03,2640.0,40,0
250000680-05-11,250000680-05-11-01,1,3,0.3333333333333333,0,2,4,488.84268484,1,39,1,3,1,,03,09,300.0,40,1
250000680-05-11,250000680-05-11-02,1,3,0.3333333333333333,0,2,4,488.84268484,2,33,1,7,1,3,09,02,2800.0,30,0
250000680-10-11,250000680-10-11-02,1,3,0.3333333333333333,0,2,4,434.34145427,1,38,4,2,1,,01,06,800.0,44,1
250000680-11-11,250000680-11-11-02,1,3,0.3333333333333333,0,2,4,500.40353612,1,32,4,5,1,,01,09,300.0,44,1
250000680-12-11,250000680-12-11-01,1,1,1.0,0,2,4,434.21667124,2,40,4,3,1,,06,05,500.0,20,1
250000680-13-11,250000680-13-11-01,1,3,0.3333333333333333,0,2,4,490.39028221,2,38,1,2,1,3,08,09,600.0,30,0
250000680-13-11,250000680-13-11-02,1,3,0.3333333333333333,0,2,4,490.39028221,1,28,1,5,1,,01,06,500.0,40,1
250000845-01-11,250000845-01-11-01,1,2,0.5,1,1,1,289.82430867,1,42,4,7,1,,07,02,1412.0,44,1
250000845-01-11,250000845-01-11-02,1,2,0.5,1,1,1,289.82430867,2,43,4,7,1,,06,07,400.0,20,1
250000845-02-11,250000845-02-11-02,1,2,0.5,1,1,1,250.92684156,1,51,4,5,1,,04,07,2500.0,44,0
250000845-03-11,250000845-03-11-02,1,2,0.5,1,1,1,260.85336654,1,54,1,5,1,,02,07,3000.0,48,1
250000845-06-11,250000845-06-11-02,1,2,0.5,1,1,1,299.21978221,2,41,1,5,1,,07,04,2000.0,40,0
250000845-06-11,250000845-06-11-03,1,2,0.5,1,1,1,299.21978221,1,24,1,6,1,,04,09,1500.0,48,0
250000845-06-11,250000845-06-11-04,1,2,0.5,1,1,1,299.21978221,2,18,1,5,1,,10,05,700.0,20,1
250000845-07-11,250000845-07-11-01,1,2,0.5,1,1,1,315.68732446,2,25,1,7,1,,07,02,3000.0,40,1
250000845-09-11,250000845-09-11-02,1,2,0.5,1,1,1,242.84727571,2,39,1,7,1,,09,04,2000.0,40,0
250000845-11-11,250000845-11-11-01,1,2,0.5,1,1,1,313.88602699,1,52,1,4,1,,04,05,1412.0,48,0
250000845-11-11,250000845-11-11-02,1,2,0.5,1,1,1,313.88602699,2,49,1,4,1,,04,09,1490.0,48,0
250000845-11-11,250000845-11-11-03,1,2,0.5,1,1,1,313.88602699,1,22,1,4,1,,06,05,1412.0,48,0
250000845-12-11,250000845-12-11-01,1,2,0.5,1,1,1,300.43154931,2,67,4,2,1,,11,09,600.0,10,1
250000845-12-11,250000845-12-11-02,1,2,0.5,1,1,1,300.43154931,2,26,4,5,1,,07,03,1700.0,40,1
250000845-13-11,250000845-13-11-01,1,2,0.5,1,1,1,277.16621584,2,42,1,5,1,,09,03,1412.0,44,0
250000845-13-11,250000845-13-11-02,1,2,0.5,1,1,1,277.16621584,1,49,4,5,1,,05,08,2000.0,48,1
250000845-14-11,250000845-14-11-01,1,2,0.5,1,1,1,273.41081647,2,46,4,7,1,,04,05,1500.0,44,0
250001245-01-11,250001245-01-11-02,1,2,0.5,0,1,4,248.69370055,1,37,4,2,1,,04,05,500.0,16,1
250001245-02-11,250001245-02-11-02,1,2,0.5,0,1,4,240.29628522,1,44,4,4,1,,02,07,1200.0,40,1
250001245-02-11,250001245-02-11-03,1,2,0.5,0,1,4,240.29628522,2,20,4,5,1,,04,05,500.0,40,1
250001245-03-11,250001245-03-11-01,1,2,0.5,0,1,4,206.24091857,2,61,1,5,1,,10,05,1500.0,20,1
250001245-03-11,250001245-03-11-02,1,1,1.0,0,1,4,206.24091857,1,48,4,3,1,,05,08,300.0,20,1
250001245-04-11,250001245-04-11-01,1,2,0.5,0,1,4,186.9971073,2,55,1,7,1,3,09,02,7606.0,40,0
250001245-05-11,250001245-05-11-02,1,2,0.5,0,1,4,252.05644189,1,37,4,2,1,,11,06,1500.0,40,1
250001245-06-11,250001245-06-11-03,1,2,0.5,0,1,4,248.14789575,2,24,4,5,1,,04,05,1412.0,42,0
250001245-07-11,250001245-07-11-01,1,1,1.0,0,1,4,292.99170821,2,23,4,5,1,,04,04,1200.0,40,0
250001245-07-11,250001245-07-11-02,1,1,1.0,0,1,4,292.99170821,1,22,1,3,1,,02,07,600.0,48,1
250001245-08-11,250001245-08-11-01,1,2,0.5,0,1,4,269.10817939,1,44,4,2,1,,02,07,400.0,36,1
250001245-09-11,250001245-09-11-01,1,2,0.5,0,1,4,178.87207949,2,57,4,5,1,,09,09,1412.0,40,0
250001245-10-11,250001245-10-11-02,1,2,0.5,0,1,4,207.51260864,1,53,1,5,1,,04,07,2500.0,40,0
250001515-02-11,250001515-02-11-01,1,2,0.5,0,2,4,585.26786937,1,53,1,5,1,3,09,05,1412.0,30,0
250001515-02-11,250001515-02-11-02,1,2,0.5,0,2,4,585.26786937,2,49,4,5,2,,09,03,2800.0,72,0
250001515-02-11,250001515-02-11-05,1,2,0.5,0,2,4,585.26786937,1,27,4,6,1,,02,07,1700.0,44,0
250001515-04-11,250001515-04-11-01,1,2,0.5,0,2,4,543.36226847,2,45,2,3,1,,04,05,300.0,40,1
250001515-04-11,250001515-04-11-02,1,2,0.5,0,2,4,543.36226847,1,46,2,2,1,,01,06,1412.0,56,0
250001515-05-11,250001515-05-11-01,1,2,0.5,0,2,4,505.23566062,1,43,1,2,1,,01,06,300.0,70,1
250001515-05-11,250001515-05-11-02,1,2,0.5,0,2,4,505.23566062,2,50,4,5,1,,01,06,300.0,70,1
250001515-07-11,250001515-07-11-01,1,1,1.0,0,2,4,499.82056566,2,62,2,1,1,,06,05,400.0,16,1
250001515-07-11,250001515-07-11-02,1,1,1.0,0,2,4,499.82056566,1,42,4,1,1,,01,09,600.0,24,1
250001515-08-11,250001515-08-11-03,1,2,0.5,0,2,4,538.75380186,1,39,1,5,1,3,08,08,1412.0,30,0
250001515-08-11,250001515-08-11-04,1,2,0.5,0,2,4,538.75380186,2,36,1,5,1,,04,04,1412.0,40,0
250001515-08-11,250001515-08-11-05,1,2,0.5,0,2,4,538.75380186,2,21,1,6,1,,09,05,300.0,12,1
250001515-10-11,250001515-10-11-01,1,2,0.5,0,2,4,586.29414516,1,40,4,3,1,,02,07,1600.0,44,0
250001515-11-11,250001515-11-11-02,1,2,0.5,0,2,4,566.06521703,1,41,2,3,1,,01,09,600.0,24,1
250001515-12-11,250001515-12-11-01,1,2,0.5,0,2,4,502.30630699,2,53,4,3,1,,11,05,650.0,60,1
250001515-12-11,250001515-12-11-02,1,2,0.5,0,2,4,502.30630699,1,57,4,1,1,,11,09,1412.0,70,1
250001515-12-11,250001515-12-11-03,1,2,0.5,0,2,4,502.30630699,2,23,4,5,2,,11,05,500.0,87,1
250001533-01-11,250001533-01-11-01,1,3,0.3333333333333333,1,1,1,347.42960708,2,25,1,5,1,,04,05,1320.0,44,0
250001533-02-11,250001533-02-11-02,1,3,0.3333333333333333,1,1,1,267.72166528,1,61,1,5,1,,07,01,3000.0,44,0
250001533-02-11,250001533-02-11-03,1,3,0.3333333333333333,1,1,1,267.72166528,1,28,4,5,1,,02,08,1450.0,44,0
250001533-04-11,250001533-04-11-01,1,3,0.3333333333333333,1,1,1,271.61624326,2,35,1,7,1,3,09,03,2640.0,30,0
250001533-04-11,250001533-04-11-02,1,3,0.3333333333333333,1,1,1,271.61624326,1,41,4,5,1,,10,03,3960.0,44,0
250001533-05-11,250001533-05-11-01,1,2,0.5,1,1,1,296.47100364,2,37,4,5,1,,09,03,1500.0,44,1
250001533-05-11,250001533-05-11-02,1,3,0.3333333333333333,1,1,1,296.47100364,1,39,4,3,1,,07,03,2500.0,44,0
250001533-06-11,250001533-06-11-01,1,3,0.3333333333333333,1,1,1,298.94445062,2,36,1,7,1,,07,04,2000.0,40,0
250001533-06-11,250001533-06-11-02,1,3,0.3333333333333333,1,1,1,298.94445062,1,33,4,5,1,,04,05,1710.0,44,0
250001533-07-11,250001533-07-11-03,1,3,0.3333333333333333,1,1,1,254.53841031,1,27,4,7,1,,07,02,2900.0,40,0
250001533-08-11,250001533-08-11-01,1,3,0.3333333333333333,1,1,1,307.60108848,2,51,4,5,1,,04,05,1200.0,25,1
250001533-08-11,250001533-08-11-02,1,3,0.3333333333333333,1,1,1,307.60108848,1,55,4,5,1,1,08,10,5000.0,44,0
250001533-08-11,250001533-08-11-03,1,3,0.3333333333333333,1,1,1,307.60108848,1,33,4,5,1,,07,04,2300.0,44,0
250001533-08-11,250001533-08-11-04,1,3,0.3333333333333333,1,1,1,307.60108848,1,27,4,5,1,,05,08,1450.0,44,1
250001533-08-11,250001533-08-11-05,1,3,0.3333333333333333,1,1,1,307.60108848,2,21,4,5,1,,04,05,1320.0,40,0
250001533-09-11,250001533-09-11-01,1,3,0.3333333333333333,1,1,1,281.94615217,1,47,4,5,1,,03,07,1900.0,44,0
250001533-09-11,250001533-09-11-02,1,3,0.3333333333333333,1,1,1,281.94615217,2,48,4,5,1,,09,03,1500.0,44,0
250001533-10-11,250001533-10-11-01,1,3,0.3333333333333333,1,1,1,347.42960708,1,33,1,5,1,,04,05,1550.0,44,0
250001533-10-11,250001533-10-11-02,1,3,0.3333333333333333,1,1,1,347.42960708,2,29,1,5,1,,11,09,1320.0,44,0
250001533-11-11,250001533-11-11-01,1,3,0.3333333333333333,1,1,1,316.94764206,1,35,4,5,1,,04,05,1550.0,44,0
